policy,seed,day,profit,served,arrivals,abandoned,balked,avg_wait_seconds,leftover_units,leftover_cost
bake_to_par,0,0,-203.90,70,76,6,0,15.13,240,408.20
bake_to_par,0,1,-242.00,52,52,0,0,11.15,229,395.60
bake_to_par,0,2,-310.50,49,49,0,0,10.82,266,454.20
bake_to_par,0,3,-365.60,57,57,0,0,11.40,318,530.00
bake_to_par,0,4,-147.40,81,81,0,0,11.11,232,388.00
bake_to_par,1,0,-155.90,57,57,0,0,11.75,202,338.60
bake_to_par,1,1,-339.70,54,54,0,0,11.30,291,494.20
bake_to_par,1,2,-363.60,55,55,0,0,10.91,311,524.40
bake_to_par,1,3,-200.50,57,57,0,0,10.53,209,364.60
bake_to_par,1,4,-304.00,55,55,0,0,12.00,273,463.60
bake_to_par,2,0,-180.10,51,51,0,0,10.39,189,333.40
bake_to_par,2,1,-136.30,68,68,0,0,12.06,201,339.40
bake_to_par,2,2,-219.30,56,57,1,0,11.58,227,387.00
bake_to_par,2,3,-163.90,62,62,0,0,11.45,197,341.80
bake_to_par,2,4,-128.70,60,60,0,0,11.33,184,313.80
bake_to_par,3,0,-228.70,70,70,0,0,12.57,249,425.80
bake_to_par,3,1,-742.70,43,44,0,0,11.36,523,871.40
bake_to_par,3,2,-432.40,58,58,0,0,10.52,362,602.80
bake_to_par,3,3,-171.30,56,58,1,0,11.38,195,339.00
bake_to_par,3,4,-162.10,73,73,0,0,11.23,228,381.40
bake_to_par,4,0,-85.60,67,69,2,0,13.48,161,283.60
bake_to_par,4,1,-237.20,49,49,0,0,12.04,218,378.80
bake_to_par,4,2,-288.60,50,50,0,0,11.80,251,432.00
bake_to_par,4,3,-261.70,56,56,0,0,11.43,256,431.80
bake_to_par,4,4,-38.20,77,77,0,0,14.03,161,272.80
bake_to_par,5,0,-298.90,54,54,0,0,11.11,259,448.60
bake_to_par,5,1,-141.80,62,64,2,0,12.66,193,329.60
bake_to_par,5,2,-324.50,52,53,1,0,11.89,282,479.00
bake_to_par,5,3,-222.90,54,55,1,0,10.91,212,372.60
bake_to_par,5,4,-267.20,51,51,0,0,11.18,259,431.60
bake_to_par,6,0,-177.50,65,65,0,0,11.38,203,357.80
bake_to_par,6,1,-107.80,65,66,1,0,12.58,178,304.00
bake_to_par,6,2,-260.30,59,60,1,0,13.67,257,434.60
bake_to_par,6,3,-302.90,59,60,1,0,12.17,287,479.00
bake_to_par,6,4,-129.80,60,60,0,0,11.00,175,308.00
bake_to_par,7,0,-184.70,65,66,0,0,11.06,200,357.80
bake_to_par,7,1,-304.00,57,57,0,0,11.40,270,463.60
bake_to_par,7,2,-249.70,55,56,1,0,12.86,236,405.40
bake_to_par,7,3,-319.90,64,65,0,0,10.77,291,497.80
bake_to_par,7,4,-372.80,67,67,0,0,10.75,340,570.80
bake_to_par,8,0,-298.70,51,51,0,0,11.18,264,451.40
bake_to_par,8,1,-57.40,73,73,0,0,11.78,165,280.00
bake_to_par,8,2,-290.50,61,62,0,0,10.65,272,467.80
bake_to_par,8,3,-212.00,63,63,0,0,11.59,249,412.40
bake_to_par,8,4,-135.30,70,70,0,0,11.14,199,341.40
bake_to_par,9,0,-76.90,70,71,0,0,11.27,178,295.00
bake_to_par,9,1,-117.20,65,66,1,0,14.24,192,318.80
bake_to_par,9,2,-137.60,58,58,0,0,12.41,175,309.20
bake_to_par,9,3,-359.80,53,53,0,0,11.89,312,517.60
bake_to_par,9,4,-184.00,66,66,0,0,11.82,220,374.80
bake_to_par,10,0,-280.90,47,47,0,0,11.49,246,422.20
bake_to_par,10,1,-80.30,72,72,0,0,10.56,166,290.60
bake_to_par,10,2,-436.50,48,48,0,0,10.42,343,574.20
bake_to_par,10,3,-199.70,76,77,0,0,12.21,254,421.40
bake_to_par,10,4,-296.90,57,57,0,0,10.35,272,459.80
bake_to_par,11,0,-273.70,61,62,0,0,11.77,265,451.00
bake_to_par,11,1,-280.50,49,49,0,0,11.02,237,413.40
bake_to_par,11,2,-117.40,64,64,0,0,11.41,177,306.40
bake_to_par,11,3,-176.70,66,66,0,0,10.76,216,369.00
bake_to_par,11,4,-131.10,67,67,0,0,11.94,192,330.60
bake_to_par,12,0,-256.00,56,56,0,0,11.07,239,415.60
bake_to_par,12,1,-354.90,67,67,0,0,11.04,324,543.00
bake_to_par,12,2,-319.30,52,53,1,0,11.51,280,475.00
bake_to_par,12,3,-411.60,44,45,0,0,10.44,312,534.00
bake_to_par,12,4,-179.70,67,67,0,0,11.19,225,382.20
bake_to_par,13,0,-142.30,66,66,0,0,11.52,200,339.40
bake_to_par,13,1,-308.80,42,42,0,0,12.14,262,444.40
bake_to_par,13,2,-114.40,65,65,0,0,10.46,185,314.80
bake_to_par,13,3,-80.60,65,65,0,0,11.85,165,286.40
bake_to_par,13,4,-186.50,60,60,0,0,11.50,206,356.60
bake_to_par,14,0,-164.00,58,59,0,0,10.51,202,342.80
bake_to_par,14,1,-181.30,68,68,0,0,11.91,216,371.80
bake_to_par,14,2,-267.20,50,50,0,0,11.60,247,419.60
bake_to_par,14,3,-256.00,66,66,0,0,11.52,259,442.00
bake_to_par,14,4,-112.70,60,61,1,0,14.10,171,295.40
bake_to_par,15,0,-174.60,54,54,0,0,11.11,178,321.60
bake_to_par,15,1,-270.20,64,64,0,0,11.56,270,459.20
bake_to_par,15,2,-277.90,54,55,1,0,11.09,255,433.00
bake_to_par,15,3,-273.60,55,55,0,0,13.09,266,442.80
bake_to_par,15,4,-293.50,54,54,0,0,12.22,266,452.20
bake_to_par,16,0,-231.80,57,57,0,0,12.11,240,406.40
bake_to_par,16,1,-280.20,61,62,0,0,12.26,277,465.60
bake_to_par,16,2,-257.70,50,50,0,0,10.80,228,396.60
bake_to_par,16,3,-290.40,56,56,0,0,11.25,264,452.40
bake_to_par,16,4,-18.50,73,74,1,0,11.08,148,248.60
bake_to_par,17,0,-272.90,49,49,0,0,11.43,248,423.80
bake_to_par,17,1,-115.30,66,66,0,0,11.21,184,314.20
bake_to_par,17,2,-198.50,70,70,0,0,11.43,242,407.00
bake_to_par,17,3,-214.00,60,60,0,0,11.00,238,401.20
bake_to_par,17,4,-147.00,70,71,1,0,11.13,206,352.80
bake_to_par,18,0,-190.40,57,57,0,0,11.40,211,359.60
bake_to_par,18,1,-180.10,53,53,0,0,11.89,196,338.20
bake_to_par,18,2,-278.90,72,74,2,0,13.51,288,488.60
bake_to_par,18,3,-282.90,40,40,0,0,11.00,230,401.40
bake_to_par,18,4,-276.20,71,71,0,0,10.99,294,488.00
bake_to_par,19,0,-388.90,50,51,0,0,11.18,321,539.80
bake_to_par,19,1,-163.80,62,62,0,0,10.81,198,343.20
bake_to_par,19,2,-237.90,58,58,0,0,11.21,239,407.40
bake_to_par,19,3,-397.10,52,52,0,0,10.00,323,545.00
bake_to_par,19,4,-194.80,58,58,0,0,11.55,210,362.80
greedy_queue,0,0,-604.90,64,76,12,0,20.66,556,787.00
greedy_queue,0,1,-832.50,45,52,7,0,22.69,671,958.20
greedy_queue,0,2,-859.40,43,49,6,0,17.96,688,977.60
greedy_queue,0,3,-764.00,52,57,5,0,17.37,640,906.80
greedy_queue,0,4,-581.30,68,81,13,0,19.63,540,769.40
greedy_queue,1,0,-700.50,46,57,11,0,21.40,593,838.20
greedy_queue,1,1,-879.10,46,54,8,0,16.85,711,1004.20
greedy_queue,1,2,-842.80,47,55,8,0,18.00,689,970.00
greedy_queue,1,3,-847.40,50,57,7,0,16.67,688,982.40
greedy_queue,1,4,-811.00,48,55,7,0,16.18,666,942.40
greedy_queue,2,0,-814.60,44,51,7,0,17.84,657,937.60
greedy_queue,2,1,-692.50,58,68,10,0,18.53,602,856.60
greedy_queue,2,2,-745.10,48,57,9,0,19.65,622,881.00
greedy_queue,2,3,-763.60,52,62,10,0,19.35,642,905.20
greedy_queue,2,4,-751.60,51,60,9,0,17.67,635,898.00
greedy_queue,3,0,-685.30,62,70,8,0,17.71,601,851.80
greedy_queue,3,1,-916.80,38,44,5,0,15.91,727,1026.00
greedy_queue,3,2,-775.80,51,58,7,0,17.41,648,919.20
greedy_queue,3,3,-796.80,46,58,11,0,18.62,650,925.20
greedy_queue,3,4,-622.60,62,73,11,0,18.63,561,798.40
greedy_queue,4,0,-668.50,59,69,10,0,17.97,589,832.60
greedy_queue,4,1,-845.50,43,49,6,0,17.14,682,965.80
